Measure Name,Measure Abbreviation (if provided),Your Name,Timestamp,Reference (APA Style),Measure Details (description),"Year (enter a number such as ""2023""; year refers to year of publication of the paper)",Link to Paper,Link to Measure/Items,Items (copy paste the actual item set),Length (duration in seconds),Length (number of items),Population (2-letter country ISO code),Language (2-letter language ISO code),Validated (any type of validation of the measure),"Objective (i.e., performance test with clear correct and wrong responses, or the mapping of actual behaviour, etc., not self-report)","Specific (i.e., tailored, not a broad measure of resilience but on a specific technique or topic, for example the topic of the intervention in the study)",Online (is the measure administered online),"Long-Term Malleability (is there evidence that the score can change when measured weeks or months later)

Note: if the study did not look at this, please put NA","Short-Term Malleability (is there evidence that the score can change immediately after an intervention, or a couple of days after the initial measure)

Note: if the study did not look at this, please put NA",Skill (see high-level overview of resilience),"Attitudes, Norms, & Beliefs (see high-level overview of resilience)",Knowledge (see high-level overview of resilience),Behavioral Correlate (see high-level overview of resilience),Identity Risk Factor (see high-level overview of resilience),"Stimuli Type (see high-level overview of resilience)

Note: this may not be relevant for self-report scales, in that case, put NA","Stimuli Origin (see high-level overview of resilience; this refers to how the stimuli was created or collected)

Note: this may not be relevant for self-report scales, in that case, put NA","Stimuli Source (see high-level overview of resilience; this refers to whether the stimuli itself includes any source information, for example if the stimuli is a social media post whether this has been posted or written by an individual and this source information is included in the stimuli)

Note: this may not be relevant for self-report scales, in that case, put NA","Stimuli Characteristics (see high-level overview of resilience)

Note: this may not be relevant for self-report scales, in that case, put NA","Stimuli Platform (see high-level overview of resilience; this refers to the format of the stimuli and what type of platform the stimuli resemble)

Note: this may not be relevant for self-report scales, in that case, put NA",Response Option (see high-level overview of resilience),Component Type (see high-level overview of resilience),Behavior Type (see high-level overview of resilience),Risk Type (see high-level overview of resilience),Any comments?,Link to Original Measure Paper (if the measure used in the paper is based on a measure from a different paper),If this variable is a Key Correlate variable (see intervention scoring sheet); indicate which one,Does paper include a scale/measure?,Language (2-letter language ISO code)
(1)	Belief in Covid-19 conspiracy theories (2) Belief in conspiracy theories unrelated to Covid-19 (3) Dissemination intentions of Covid-19 conspiracy theories (4) Dissemination intentions of conspiracy theories unrelated to Covid-19 (5) Knowledge and dissemination intentions of facts about Covid-19 (6) Belief in Covid-19 Conspiracy Theories,NA,Fritz,10/05/2023 01:04:40,"Sternisko, A., Cichocka, A., Cislak, A., & van Bavel, J. (2023). National Narcissism predicts the Belief in and the Dissemination of Conspiracy Theories During the COVID-19 Pandemic: Evidence From 56 Countries. Personality and Social Psychology Bulletin, 49(1), 48–65. https://doi.org/10.1177/01461672211054947","This paper is a multi-study paper that comprises 3 studies. In all three sub-studies similar ad-hoc measures were utilized. In Study 1, to measure ""belief in dissemination intentions of Covid-19 conspiracy theories"", participants read a series of conspiracy theories (8 unrelated to Covid-19, 2 related to Covid-19). For each conspiracy theory, participants rated their agreement with it (1= strongly disagree, 5 = strongly agree) and also rated their intentions to share it online (1= not at all, 5 = very much). The Covid-19 related conspiracy theory scores were then used to form one latent score, whereas the non-Covid-19 related scores were used to form another, which was entered as a covariate. Similarly, in Study 2, participants read 7 Covid-19 related conspiracy theories and 3 facts about the Covid-19 pandemic. Again, participants rated conspiracy theories on 5-point scales regarding how much they agreed with them and how high their online-sharing intentions were. The 3 factual statements were treated as a ""Covid-19 knowledge variable"" and entered the model as a covariate. Similarly, in Study 3, participants were presented with 4 conspiracy theories about Covid-19 and asked how much they agreed with each of them. ",2023,https://journals.sagepub.com/doi/full/10.1177/01461672211054947,Reported in supplemental materials (https://journals.sagepub.com/doi/full/10.1177/01461672211054947#supplementary-materials),"Unrelated to COVID-19  1. Scientists are creating panic about climate change because it is in their interests to do so.  2.	There was an official campaign by MI6 to assassinate Princess Diana, sanctioned by elements of the establishment. 3.	 The AIDS virus was created in a laboratory. 4.	 The attack on the Twin Towers was not a terrorist action but a governmental conspiracy. 5.	 The American moon landings were faked. 6.	 Governments are suppressing evidence of the existence of aliens.  7.	Lee Harvey Oswald collaborated with the CIA in assassinating President John F. Kennedy.  8.	Vaccines are harmful, and this fact is covered up.  Note. Conspiracy Theories 1-7 were taken from Douglas et al., 2016  Related to COVID-19  1.	Certain officials and media outlets are exaggerating the threat of coronavirus (COVID-19) to weaponize it and hurt the Trump administration. [Denial Conspiracy Theory]  2.	The Chinese government deliberately spread the coronavirus (COVID-19) as a bioweapon. [Deflection Conspiracy Theory]  For each Conspiracy Theory participants were asked:  -	Please indicate how much you agree with the statement by selecting the appropriate response below. 1 (Strongly Disagree) 2 3 4 5 (Strongly Agree) -	How willing are you to share this idea with others online? 1 (Not at all) 2 3 4 5 (Very much)  1.1.	2. Dissemination Patterns  Participants saw:  Please choose the idea that you would be most likely to post about online.  o	Scientists are creating panic about climate change because it is in their interests to do so.    o	There was an official campaign by MI6 to assassinate Princess Diana, sanctioned by elements of the establishment.   o	The AIDS virus was created in a laboratory.   o	The attack on the Twin Towers was not a terrorist action but a governmental conspiracy.  o	The American moon landings were faked.  o	Governments are suppressing evidence of the existence of aliens.  o	Lee Harvey Oswald collaborated with the CIA in assassinating President John F. Kennedy.   o	Vaccines are harmful, and this fact is covered up.  o	Certain officials and media outlets are exaggerating the threat of coronavirus (COVID-19) to weaponize it and hurt the Trump administration.   o	The Chinese government deliberately spread the coronavirus (COVID-19) as a bioweapon.     Platform On which online platform would you choose to share your post? o	Facebook   o	Twitter    o	Reddit  	  o	Instagram    o	Youtube    o	Snapchat    o	Other (Please specify)   ________________________________________________  Post Please compose a post about this topic in your own words that you would share.   (280 characters maximum) ________________________________________________________________. COVID-19 Conspiracy theories  1.	The Chinese government engineered the coronavirus (COVID-19) as a bioweapon. [Deflection Conspiracy Theory]  2.	The coronavirus (COVID-19) was deliberately spread by world leaders to take away their citizens’ rights [Deflection Conspiracy Theory]  3.	The coronavirus (COVID-19) was created as part of a population control scheme. [Deflection Conspiracy Theory]  4.	The pharmaceutical industry deliberately expedited the spread of the coronavirus (COVID-19) for financial gains. [Deflection Conspiracy Theory]  5.	Important information about vaccines and cures for coronavirus (COVID-19) is hidden from the public. [Deflection Conspiracy Theory]  6.	The coronavirus (COVID-19) pandemic is a hoax to cover up that 5G technology is damaging to people’s immune systems. The symptoms allegedly caused by “the coronavirus (COVID-19)” are actually caused by 5G radiation. [Denial Conspiracy Theory]  7.	The coronavirus (COVID-19) is a hoax invented by the media to pursue their political agenda. [Denial Conspiracy Theory]    Facts  1.	While the elderly are at higher risk of dying from the coronavirus (COVID-19), young people make up a large number of hospitalized coronavirus (COVID-19) patients  2.	The UK has over 50,000 confirmed COVID-19 cases.  3.	Given the rapid spread of the coronavirus (COVID-19), some hospitals could soon exceed their capacities and begin to deny treatment to certain patients.   For each Conspiracy Theory participants were asked:  -	How much do you agree with the statement?  1 (Not at all) 2 3 4 5 (Very much) -	How inclined are you to share a post that supports the stated idea online? 1 (Not at all) 2 3 4 5 (Very much)  2.1.2. Dissemination Patterns  Participants saw:  If you were to post about any of the statements that you’ve just read, on which online platform would you be most likely to share your post(s)?    [Post(s) could be supporting or opposing the stated idea(s)]       o	Facebook   o	Twitter   o	Instagram   o	Reddit    o	Youtube   o	Snapchat   o	TikTok   o	Other  ________________________________________________ o	I don't post things online  ",Not reported,4-10,Study 1: US Study 2: UK Study 3: 56 Nations,"Study 1,2: EN; Study 3: Multiple languages (back-translation procedure)",Yes,NA,Yes,Yes,NA,NA,NA,Yes,Yes,No,No,Text,NA,NoSource,Other,NoPlatform,Scale,PerceivedAgreement,NA,NA,"This multi-study paper alerted me to a number of issues that we may want to fix: (1) perhaps we could have multiple boxes for multiple measures if there are multiple measures within a single paper (the same is true for multiple populations) (2) it would be good if we could somewhere specify what has been done to ascertain validity; in my case the authors only ran a CFA. That is technically a way of ensuring structural validity but it is still a rather limited way of probing overall validity and I think that that is an important nuance that we should capture (3) just for convenience's sake – let's include a link to the high-level overview of resilience again. So that raters can always quickly refer to the main cheat sheet, rather than having to tediously search for it. ",,,,
Ability Estimation Task,NA,Christiane,26/08/2023 00:32:14,"Salovich, N. A., & Rapp, D. N. (2021). Misinformed and unaware? metacognition and the influence of inaccurate information. Journal of Experimental Psychology. Learning, Memory, and Cognition, 47(4), 608-624.",people’s beliefs about their ability to detect and discount inaccuracies during reading; measured as ability relative to population,2021,https://doi.org/10.1037/xlm0000977,NA,"People encounter inaccurate information on a daily basis (in the news, from books, from one another, etc.). In the following questions, please rate your ability to detect, discount, or ignore inaccurate information that you encounter relative to the following social groups (0 = everyone is better than me, 100 = everyone is worse than me).",NA,1,US,en,No,No,Yes,Yes,NA,NA,Yes,No,No,No,No,NA,NA,NA,NA,NA,Scale,MetaCognitive,NA,,,NA,NA,Yes,
Accuracy Prompts - Sharing Discernment ,NA,Christiane,18/07/2023 23:43:16,"Pennycook, G., & Rand, D. G. (2022). Accuracy prompts are a replicable and generalizable approach for reducing the spread of misinformation. Nature Communications, 13(1), 2333-2333",Meta-analysis of 20 experiments; analyzing replicability and generalizability of accuracy prompts effect on news dissemination,2022,https://doi.org/10.1038/s41467-022-30073-5,,,,,,,,,,,,,,,,,,,,,,,,,,,"Since it's a meta-analysis, the paper itself did not include any specific scales or measures. However, several identity risk factors/key correlates were included in their analyses (age, education, cognitive reflection)",,,No,
Active open minded thinking,AOT,Christiane,26/08/2023 03:00:53,"Georgiou, N., Delfabbro, P., & Balzan, R. (2021). Conspiracy theory beliefs, scientific reasoning and the analytical thinking paradox.","assesses the tendency of an individual to weigh new evidence against a favoured belief, to spend sufficient time on a problem before giving up, and to consider carefully the opinions of others in forming one's own belief",2021,https://doi.org/10.1002/acp.3885,"(Original Measure Paper, in Appendix) https://www.proquest.com/scholarly-journals/role-actively-open-minded-thinking-information/docview/1364598283/se-2 ",(Last 4 reverse-scored) 1. Allowing oneself to be convinced by an opposing argument is a sign of good character. 2. People should take into consideration evidence that goes against their beliefs. 3. People should revise their beliefs in response to new information or evidence. 4. Changing your mind is a sign of weakness. 5. Intuition is the best guide in making decisions. 6. It is important to persevere in your beliefs even when evidence is brought to bear against them. 7. One should disregard evidence that conflicts with one’s established beliefs.,NA,7,US; UK; CA; AU; EU,en,Yes,No,Yes,Yes,NA,NA,Yes,No,No,No,No,NA,NA,NA,NA,NA,Scale,MetaCognitive,NA,,"entered ""EU"" under population as specific European countries were not provided, only that it was ""continental Europe""",https://www.proquest.com/scholarly-journals/role-actively-open-minded-thinking-information/docview/1364598283/se-2,Open-Minded Thinking,Yes,
Actively Open-Minded Thinking,AOT,Christiane,05/06/2023 14:34:21,"Sinclair, A. H., Stanley, M. L., & Seli, P. (2020). Closed-minded cognition: Right-wing authoritarianism is negatively related to belief updating following prediction error. Psychonomic Bulletin & Review, 27(6), 1348–1361.","Measures tendency to weigh new evidence against a favored belief, to spend sufficient time on a problem before giving up, and to consider carefully the opinions of others in forming one’s own",2020,https://doi.org/10.3758/s13423-020-01767-y,In Appendix: https://www.cambridge.org/core/journals/judgment-and-decision-making/article/role-of-actively-openminded-thinking-in-information-acquisition-accuracy-and-calibration/1D78BE16863F3F6B2D1C8B5307C9C3B3 ; Bottom of 5.1 Methods https://www.sciencedirect.com/science/article/pii/S0010027718302622?via%3Dihub ," 1. Allowing oneself to be convinced by a solid opposing argument is a sign of good character.  2. People should take into consideration evidence that goes against conclusions they favor.  3. Being undecided or unsure is the result of muddled thinking. (R)  4. People should revise their conclusions in response to relevant new information.  5. Changing your mind is a sign of weakness. (R)  6. People should search actively for reasons why they might be wrong.  7. It is OK to ignore evidence against your established beliefs. (R)  8. It is important to be loyal to your beliefs even when evidence is brought to bear against them. (R)  9. When we are faced with a new question, the first answer that occurs to us is usually best. (R) 10. Good thinking leads to uncertainty when there are good arguments on both sides.  11. When faced with a new question, we should consider more than one possible answer before reaching a conclusion. (R) indicates reverse scoring. ; (Last 4 reverse-scored) Allowing oneself to be convinced by an opposing argument is a sign of good character. 2. People should take into consideration evidence that goes against their beliefs. 3. People should revise their beliefs in response to new information or evidence. 4. Changing your mind is a sign of weakness. 5. Intuition is the best guide in making decisions. 6. It is important to persevere in your beliefs even when evidence is brought to bear against them. 7. One should disregard evidence that conflicts with one’s established beliefs.",NA,7;10,US,en,Yes,No,Yes,Yes,NA,NA,Yes,No,No,No,Yes,NA,NA,NA,NA,NA,Scale,MetaCognitive,NA,ThinkingStyle,,https://www.cambridge.org/core/journals/judgment-and-decision-making/article/role-of-actively-openminded-thinking-in-information-acquisition-accuracy-and-calibration/1D78BE16863F3F6B2D1C8B5307C9C3B3 ; https://www.sciencedirect.com/science/article/pii/S0010027718302622?via%3Dihub,Open-Minded Thinking,Yes,
Actively-Open Minded Thinking,AOT,Christiane,30/07/2023 21:13:49,"Swami, V., Voracek, M., Stieger, S., Tran, U. S., & Furnham, A. (2014). Analytic thinking reduces belief in conspiracy theories. Cognition, 133(3), 572-585.","Measures facets of open-minded thinking, including flexible thinking, openness, dogmatism, categorical thinking, belief identification, and counterfactual thinking",2014,https://doi.org/10.1016/j.cognition.2014.08.006,NA,NA,NA,41,UK,en,Yes,No,No,No,NA,NA,Yes,No,No,No,No,NA,NA,NA,NA,NA,Scale,MetaCognitive,NA,,"For the items: Items not in source paper linked; source paper describes patching scale together using items from several different papers, but it's not clear (with all of them at least) which items from which papers/measures. ",https://doi.org/10.1080/13546780600780796,Open-Minded Thinking,Yes,
Ad Identification task,NA,April Hwang,18/08/2023 17:19:07,"McGrew, S. (2020). Learning to evaluate: An intervention in civic online reasoning. Computers and Education, 145, 103711. https://doi.org/10.1016/j.compedu.2019.103711",Provided students with links to two articles—one a traditionally bylined news story and one sponsored content— on the same topic from the same news organization. Students were told to review the articles and asked which was a more reliable source. Successful responses recognized that one article was a paid advertisement by a company and argued that the tradi- tional news story was more reliable.,2020,https://doi.org/10.1016/j.compedu.2019.103711,https://doi.org/10.1016/j.compedu.2019.103711,"Examine top of two articles (one traditional news story, one sponsored content) and explain which is a more reliable source.",NA,1,US,EN,No,Yes,No,No,NA,Yes,Yes,No,No,No,No,Other,Other,NA,Post_Article,NoPlatform,Other,MediaLiteracy,NA,,Stimuli Type: traditional news story and sponsored content (exact story/content not provided); stimuli origin and stimuli source not specified,NA,Checking Sources,Yes,
Affective influences on susceptibility to misinformation,NA,Christiane,19/07/2023 03:00:01,"Forgas, J. P., Laham, S. M., & Vargas, P. T. (2005). Mood effects on eyewitness memory: Affective influences on susceptibility to misinformation.","Looking at the influence affect (positive/happy, neutral/control, negative/sad) has on susceptibility to misinformation",2005,https://doi.org/10.1016/j.jesp.2004.11.005,,,,,,,,,,,,,,,,,,,,,,,,,,,"Although affect is part of the high-level overview, happy/sad/neutral doesn't fit with the affect specifications given (i.e., support, relevance, etc.)",,,No,
Agreeableness,NA,Christiane,19/07/2023 00:48:44,"Buchanan, T., & Kempley, J. (2021). Individual differences in sharing false political information on social media: Direct and indirect effects of cognitive-perceptual schizotypy and psychopathy.",Measure of agreeableness (Big Five-2),2021,https://doi.org/10.1016/j.paid.2021.111071,https://www.colby.edu/wp-content/uploads/2013/08/bfi2-form.pdf,"Is compassionate, has a soft heart. Is respectful, treats others with respect. Tends to find fault with others. Feels little sympathy for others. Starts arguments with others. Has a forgiving nature. Is helpful and unselfish with others. Is sometimes rude to others. Is suspicious of others’ intentions. Can be cold and uncaring. Is polite, courteous to others. Assumes the best about people.",NA,12,US,en,Yes,No,Yes,Yes,NA,NA,No,No,No,No,Yes,NA,NA,NA,NA,NA,Scale,NA,NA,,,http://dx.doi.org/10.1037/pspp0000155,NA,Yes,
Analytical Thinking,REIm-R,Christiane,26/08/2023 02:50:49,"Georgiou, N., Delfabbro, P., & Balzan, R. (2021). Conspiracy theory beliefs, scientific reasoning and the analytical thinking paradox.",measures tendencies to engage in analytical thinking,2021,https://doi.org/10.1002/acp.3885,(Original Measure Paper) https://doi.org/10.1111/j.1467-6494.2011.00718.x,I enjoy problems that require hard thinking. I am not very good in solving problems that require careful logical analysis. I enjoy intellectual challenges. I prefer complex to simple problems. I don't like to have to do a lot of thinking. Reasoning things out carefully is not one of my strong points. I am not a very analytical thinker. I try to avoid situations that require thinking in depth about something. I am much better at figuring things out logically than most people. I have a logical mind. Using logic usually works well for me in figuring out problems in my life. Knowing the answer without understanding the reasoning behind it is good enough for me.,NA,12,US; UK; CA; AU; EU,en,Yes,No,Yes,Yes,NA,NA,Yes,No,No,No,No,NA,NA,NA,NA,NA,Scale,MetaCognitive,NA,,"entered ""EU"" under population as specific European countries were not provided, only that it was ""continental Europe""",https://doi.org/10.1111/j.1467-6494.2011.00718.x,NA,Yes,
